Date,News Source,Title,Description,URL of Article,Duplicate
12/20/2020,"Press Trust of India","Reliance, Bp To Get Govt Capped Price Of $4.06 For New Gas From Kg-D6","Reliance-BP in November 2019 auctioned initial gas from the R-Series field at a biddable percentage of Brent crude oil price","/article/pti-stories/reliance-bp-to-get-govt-capped-price-of-usd-4-06-for-new-gas-from-kg-d6-120122000438_1.html",0
12/19/2020,"Business Standard","Ril, Bp Find Gas From Kg Basin'S R-Cluster, Asia'S Deepest Offshore Field","The two companies are developing three deepwater gas projects in block KG D6, which together are expected to meet 15 per cent of India's gas demand by...","/article/companies/ril-bp-find-gas-from-kg-basin-s-r-cluster-asia-s-deepest-offshore-field-120121800860_1.html",0
12/8/2020,"Business Standard","Reliance Jio To Launch 5G Network In Second Half Of 2021: Mukesh Ambani","Mukesh Ambani asserted that Reliance Jio's 5G network will be powered by indigenous-developed network, hardware and technology components","/article/companies/reliance-jio-to-launch-5g-network-by-second-half-of-2021-say-mukesh-ambani-120120800350_1.html",0
12/8/2020,"Business Standard","Reliance Industries Up 3% On 5G Plans; Sees Rollout In Second Half Of 2021","Early this year, Mukesh Ambani had announced Reliance Jio's commercial pact with Google to jointly develop entry-level affordable 4G and possibly 5G s...","/article/markets/reliance-industries-up-3-on-5g-plans-sees-rollout-in-second-half-of-2021-120120800435_1.html",0
12/8/2020,"Press Trust of India","Jio To Roll Out 5G Services In India In Second Half Of 2021: Mukesh Ambani","""I assure you that Jio will pioneer the 5G Revolution in India in the second half of 2021. It will be powered by indigenous-developed network, hardwar...","/article/pti-stories/jio-to-launch-5g-services-in-second-half-of-2021-mukesh-ambani-120120800335_1.html",0
12/8/2020,"Bloomberg","India Rally Could Continue Next Year With Banks Taking Over As Ril Peaks","Reliance has accounted for nearly a fifth of the 75 per cent surge in the S&P BSE Sensex from its March bottom","/article/markets/india-rally-could-continue-in-fy21-with-banks-taking-over-as-reliance-peaks-120120800157_1.html",0
12/3/2020,"Press Trust of India","Future-Reliance Deal: Regulator Sebi Awaits Clarification Before Go-Ahead","In August, Reliance Industries announced acquisition of Future Group for Rs 24,713 crore to bolster its fast growing retail business.","/article/pti-stories/future-reliance-deal-sebi-awaits-clarification-before-go-ahead-120120301122_1.html",0
12/2/2020,"Business Standard","Is Reliance Industries' Stock Consolidating Ahead Of Its Next Big Up Move?","The next positive catalyst may be a sharp refining margin recovery, which is more of a H2CY21 story, says JP Morgan","/article/markets/is-reliance-industries-stock-consolidating-ahead-of-its-next-big-up-move-120120200329_1.html",0
11/27/2020,"Reuters","Battle Of The Billionaires: Bezos, Ambani Gun For India Retail Supremacy","The winner in the fight for Future Retail Ltd, Amazon's estranged local partner, will get pole position in the race to meet the daily needs of more th...","/article/companies/battle-of-the-billionaires-bezos-ambani-gun-for-india-retail-supremacy-120112700983_1.html",0
11/26/2020,"Business Standard","F&O Expiry: Sensex Gains 432 Pts, Settles At 44,260; Nifty Ends At 12,987","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-siemens-hdfc-120112600141_1.html",0
11/24/2020,"Business Standard","Stocks To Watch: It, Aviation Stocks, Coal India, Ril, Au Small Fin Bank","Here's a list of stocks that may remain in focus today.","/article/markets/stocks-to-watch-it-aviation-stocks-coal-india-ril-au-small-fin-bank-120112400129_1.html",0
11/23/2020,"Business Standard","Ril, It Stocks Help Sensex Settle 195 Pts Higher; Nifty Ends Above 12,900","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-ril-hdfc-bank-120112300114_1.html",0
11/23/2020,"Business Standard","Future Group Shares, Ril Gain After Cci Nod For Reliance Retail Deal","Future Retail and Future Lifestyle Fashions were locked in 10 per cent upper circuit at Rs 79 and Rs 90.30, respectively, on the BSE","/article/markets/future-group-shares-gain-after-cci-nod-for-reliance-retail-deal-120112300335_1.html",0
11/23/2020,"Business Standard","Stocks To Watch: Banks, Nbfcs, Bharti Airtel, Cg Power, Ril, Srei Infra","Here's a list of stocks that may remain in focus today.","/article/markets/stocks-to-watch-banks-nbfcs-bharti-airtel-cg-power-ril-srei-infra-120112300133_1.html",0
11/23/2020,"Press Trust of India","Five Of Top-10 Firms Lose Rs 1,07,160 Crore In M-Cap; Ril Top Laggard","Reliance Industries (RIL) emerged as the biggest loser","/article/companies/five-of-top-10-firms-lose-rs-1-07-160-crore-in-m-cap-ril-top-laggard-120112300026_1.html",0
11/20/2020,"Business Standard","Cci Gives Nod To Reliance-Future Deal Amid Legal Battle With Amazon","The two players have said that they will go ahead with the regulatory process despite Amazon's objections","/article/companies/cci-gives-nod-to-reliance-future-deal-amid-legal-battle-with-amazon-120112001249_1.html",0
11/20/2020,"Press Trust of India","Competition Watchdog Clears Reliance-Future Group Deal In Setback To Amazon","The Competition Commission has approved Reliance's proposed acquisition of retail, wholesale, logistics and warehousing businesses of Future Group.","",0
11/20/2020,"Business Standard","Do I Have To Ask Amazon Sitting In Us For Deal With Ril, Asks Future Retail","Future Retail which was represented by senior advocate Harish Salve told the court Future Retail does not need to seek permission from Amazon for any ...","/article/companies/for-deal-with-ril-i-have-to-ask-amazon-sitting-in-us-future-retail-lawyer-120111901446_1.html",0
11/19/2020,"Business Standard","Reliance Retail Completes Rs 47,265 Cr Fund Raise For 10% Stake Sale","Experts say a strategic investor may be inducted later as Reliance Retail prepares to fight Amazon, Walmart-Flipkart and DMart among others","/article/companies/reliance-retail-completes-rs-47-265-cr-fund-raise-for-10-stake-sale-120111901328_1.html",0
11/18/2020,"Business Standard","Telecom To Oil Firms: Q2 Results Give No Clear Sign Of Broad Revival","The economy is on the mend but sustained recovery will take time: that's the picture you get by studying the July-September quarter results of 1,286 l...","/article/companies/telecom-to-oil-firms-q2-results-give-no-clear-sign-of-broad-revival-120111800488_1.html",0
11/16/2020,"Business Standard","Reliance Retail Buys 96% Stake In Urban Ladder For Over Rs 182 Crore","The deal is expected to help Mukesh Ambani-headed RIL take on players such as Amazon, Flipkart, Ikea, and smaller rival Pepperfry","/article/companies/reliance-retail-buys-96-stake-in-urban-ladder-for-over-rs-182-crore-120111600049_1.html",0
11/16/2020,"Press Trust of India","Market Capitalisation Of 8 Of Top-10 Most Valued Firms Zooms Rs 1.9 Trn","Bajaj Finance emerged as the biggest gainer, reflecting bullish investor sentiment","/article/markets/market-capitalisation-of-8-of-top-10-most-valued-firms-zooms-rs-1-9-trn-120111500340_1.html",0
11/15/2020,"IANS","Reliance Retail Ventures Acquires 96% Holding In Urban Ladder For Rs 182 Cr","RRVL proposes to make a further investment of up to Rs 75 crore. The further investment is expected to be completed by December 2023","/article/companies/reliance-retail-ventures-acquires-96-holding-in-urban-ladder-for-rs-182-cr-120111500003_1.html",0
